 기업명::경력,학력::근무지,근무형태::기업규모::평균연봉::분류코드
 네오위즈 ::신입/경력(연차무관)학력무관::경기 성남시	정규직::중견기업::5,286::17111
 한국정보데이터시스템 주식회사 ::경력(연차무관)학력무관::경기 용인시	프리랜서::중소기업::None::17111
 한국정보데이터시스템 주식회사 ::경력(연차무관)학력무관::경기 수원시 영통구 외	프리랜서::중소기업::None::17111
 한국정보데이터시스템 주식회사 ::경력(연차무관)학력무관::경기 수원시	프리랜서::중소기업::None::17111
 HR컨설팅(주) ::경력4~12년대졸::서울 중구	정규직::중소기업::None::17111
 (주)프로매치코리아 ::경력5~8년초대졸이상::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력4년↑초대졸::서울 송파구	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력5~10년대졸::서울 강남구	정규직::중소기업::2,781::17111
 에스케이텔레콤(주) ::경력4년↑석사이상::서울 종로구	정규직::대기업::6,715::17111
 (주)하나무역 ::신입/경력(연차무관)학력무관::경기 수원시 팔달구 외	정규직::중소기업::3,681::17111
 (주)프로매치코리아 ::경력3~10년대졸::서울 강남구	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~13년대졸::서울 강남구	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~13년대졸::서울 강남구	정규직::중소기업::2,781::17111
 코리아소프트(주) ::경력3년↑학력무관::인천 부평구	정규직::중소기업::3,682::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 (주)프로매치코리아 ::경력2~9년학력무관::경기 성남시	정규직::중소기업::2,781::17111
 데브시스터즈(주) ::경력(연차무관)학력무관::서울 강남구	정규직::중소기업::None::17111
 풀무원식품 주식회사 ::경력5~10년대졸이상::서울 강남구	정규직::중견기업::5,584::17111
 아이티윌 부산교육센터 ::신입학력무관::부산 부산진구	정규직	월급::중소기업::None::17111
 (주)웹랩(Web Lab) ::신입초대졸이상::서울 마포구	정규직	2,500~3,000만원::중소기업::None::17111
 (주)아트스피치앤커뮤니케이션 ::경력1년↑학력무관::서울 마포구	정규직::중소기업::3,789::17111
 법무법인 (유한)율촌 ::신입/경력(연차무관)대졸이상::서울 강남구	계약직::중소기업::None::17111
 (주)엔클랩 ::신입학력무관::서울 영등포구	정규직	2,600~2,800만원::중소기업::2,941::17111
 파워에이치알 ::경력10~15년대졸::서울 강남구	정규직::중소기업::None::17111
 (주)렉스코드 ::경력(연차무관)학력무관::서울 서초구	계약직	5,000~7,000만원::중소기업::3,369::17111
 케이카 주식회사 ::신입/경력5년↑학력무관::서울 영등포구 외	정규직외::중견기업::4,737::17111
 블록체인글로벌 ::경력4~9년대졸::서울 영등포구	정규직::중소기업::4,773::17111
 주식회사 링크업소프트 ::경력3년↑초대졸이상::서울 외	정규직외::중소기업::4,459::17111
 주식회사 링크업소프트 ::경력6년↑초대졸이상::서울 외	정규직외::중소기업::4,459::17111
 링크캠퍼스 ::경력2년↑학력무관::광주 동구	정규직	4,000~5,000만원::중소기업::None::17111
 링크캠퍼스 ::신입/경력(연차무관)학력무관::광주 동구	정규직	2,298~2,500만원::중소기업::None::17111
 파워에이치알 ::경력3~10년학력무관::서울 구로구	정규직::중소기업::None::17111
 (주)닷네임코리아 ::신입/경력(연차무관)학력무관::서울 강남구	정규직외::중소기업::3,122::17111
 파워에이치알 ::경력3~6년학력무관::서울 서초구	정규직::중소기업::None::17111
 파워에이치알 ::신입학력무관::서울 서초구	정규직::중소기업::None::17111
 아이티윌 부산교육센터 ::신입학력무관::부산 부산진구	정규직	월급::중소기업::None::17111
 (주)네오디앤씨 ::신입/경력1~5년대졸::서울 강남구	정규직::중소기업::1,297::17111
 큐티아이인터내셔날(주) ::신입/경력(연차무관)초대졸이상::서울 서초구	정규직::중소기업::4,600::17111
 (주)우성정보기술 ::경력5년↑고졸이상::경기 성남시 분당구 외	계약직::중소기업::3,406::17111
 삼정KPMG그룹 ::신입/경력1~5년대졸이상::서울 강남구	정규직외::중소기업::5,553::17111
 NH농협캐피탈 주식회사 ::경력2년↑학력무관::서울 영등포구	정규직::대기업::5,277::17111
 지마켓글로벌 유한책임회사 ::신입/경력(연차무관)대졸이상::서울 강남구	정규직::대기업::5,300::17111
 (주)스카우트파트너스 ::신입/경력4~15년학력무관::인천 서구	정규직::중소기업::4,157::17111
 (주)민트팟 ::신입/경력1~3년학력무관::서울 서초구	정규직::중소기업::None::17111
 (주)오케이저축은행 ::경력(연차무관)학력무관::서울 중구 외	정규직::중소기업::5,523::17111
 구글코리아(유) ::경력20년↑대졸이상::서울 강남구	정규직::중소기업::6,803::17111
 네오위즈 ::신입/경력(연차무관)학력무관::경기 성남시	정규직::중견기업::5,286::17111
 (주)야놀자 ::경력3년↑학력무관::서울 강남구	정규직::중견기업::5,254::17111
 한국폴리텍대학 신기술교육원 ::신입/경력(연차무관)학력무관::전북 전주시 덕진구 외	교육생(연수생)::대기업::2,656::17111
 주식회사지에스아이티엠 ::경력2~10년학력무관::서울 종로구	정규직::중견기업::5,627::17111
 컴투스 ::신입/경력(연차무관)대졸이상::서울 금천구	정규직::중견기업::5,341::17111
 (주)한국지에스티 ::신입/경력3년↑학력무관::서울 중구	정규직외::중소기업::4,408::17111
 (주)싸이버원 ::신입/경력(연차무관)학력무관::서울 서초구	정규직::중소기업::4,294::17111
 (주)에이펙스아이티 ::신입대졸이상::서울 종로구	정규직	2,500~3,000만원::중소기업::4,016::17111
 (주)에프앤에프 ::신입학력무관::서울 강남구	인턴::중견기업::5,398::17111
 (주)프로매치코리아 ::경력(연차무관)학력무관::서울 서초구 외	정규직::중소기업::2,781::17111
 윌로펌프(주) ::신입/경력(연차무관)대졸이상::부산 강서구 외	정규직::중견기업::5,766::17111
 (주)패스트림 ::신입/경력1~3년대졸::서울 서초구	정규직	3,000~3,500만원::중소기업::2,975::17111
 (주)아트박스 ::신입/경력(연차무관)대졸이상::서울 서초구	정규직::중견기업::2,885::17111
 (주)이마트 ::경력(연차무관)학력무관::서울 성동구	정규직::대기업::3,785::17111
 (주)케이티디에스 ::경력(연차무관)학력무관::서울 서초구	정규직외::대기업::5,985::17111
 (주)비멕스 ::경력(연차무관)학력무관::부산 금정구	정규직::중소기업::None::17111
 스냅태그 ::신입/경력(연차무관)학력무관::경기 성남시 분당구 외	정규직	3,200~8,000만원::중소기업::4,625::17111
 씨제이올리브네트웍스(주) ::경력6년↑대졸이상::서울 용산구	정규직::대기업::6,252::17111
 (주)롯데자이언츠 ::경력2~10년학력무관::부산 동래구	계약직::대기업::5,317::17111
 (주)스카우트플랜 ::경력3년↑초대졸::서울 서초구	정규직	3,000~5,000만원::중소기업::None::17111
 (주) 뤼이드 ::신입/경력(연차무관)학력무관::서울 강남구	정규직::중소기업::5,294::17111
 엔에이치엔소프트 ::경력5~15년고졸이상::경기 성남시	정규직::중견기업::4,532::17111
 현대자동차(주) ::경력(연차무관)대졸이상::서울 서초구	정규직::대기업::6,638::17111
 (주)페이쿠폰 ::신입/경력(연차무관)학력무관::서울 영등포구	정규직외::중소기업::3,662::17111
 (주)나스미디어 ::경력1~15년학력무관::서울 강남구	정규직::대기업::4,882::17111
 두나무(주) ::경력2년↑학력무관::서울 강남구	정규직::중견기업::None::17111
 (주)이스트게임즈 ::신입/경력(연차무관)학력무관::서울 서초구	정규직::중소기업::4,398::17111
 코웨이(주) ::경력3년↑학력무관::서울 중구	정규직::중견기업::None::17111
 리디주식회사 ::경력1년↑학력무관::서울 강남구	정규직::중소기업::4,664::17111
 (주)에이치알컨설팅그룹 ::경력3~12년초대졸이상::서울 마포구	정규직::중소기업::None::17111
 넷마블컴퍼니(주) ::경력3년↑학력무관::서울 구로구	정규직::대기업::None::17111
 넷마블컴퍼니(주) ::경력5년↑학력무관::서울 구로구	정규직::대기업::None::17111
 (주)컬리 ::경력3년↑학력무관::서울 강남구	정규직::중소기업::3,778::17111
 반석써치(주) ::경력3년↑초대졸::서울 강남구	정규직::중소기업::1,785::17111
 (주)에임메드 ::경력1년↑초대졸이상::서울 강남구	정규직::중소기업::4,092::17111
 (주)에임메드 ::경력1년↑초대졸이상::서울 강남구	정규직::중소기업::4,092::17111
 반석써치(주) ::경력7년↑초대졸::서울 강남구	정규직::중소기업::1,785::17111
 에이치알비즈코리아 ::경력4~13년대졸::경기 성남시	정규직::중소기업::2,755::17111
 주식회사 다나와 ::신입/경력(연차무관)학력무관::서울 양천구	정규직::중견기업::4,560::17111
 인크루트(주) ::신입/경력(연차무관)학력무관::서울 중구	정규직::중견기업::3,635::17111
 (주)알파코 ::경력2년↑초대졸이상::서울 영등포구	정규직::중소기업::4,490::17111
 시큐라 ::신입/경력(연차무관)학력무관::부산 남구	정규직	2,500~3,000만원::소기업::None::17111
 (주)투비파트너즈 ::경력10년↑대졸이상::서울	정규직::중소기업::None::17111
 (주)투비파트너즈 ::경력4년↑대졸이상::서울	정규직::중소기업::None::17111
 (주)에스에스지닷컴 ::경력2년↑학력무관::서울 종로구	정규직::대기업::3,727::17111
 NHN ::경력(연차무관)학력무관::경기 성남시	정규직::중견기업::5,963::17111
 (주)스칼라웍스 ::신입/경력(연차무관)학력무관::서울 금천구	정규직외::중소기업::4,237::17111
 (주)피앤피시큐어 ::신입/경력(연차무관)학력무관::경기 성남시 분당구 외	정규직::중견기업::5,148::17111
 (주)스카우트플랜 ::경력5년↑대졸::전남 여수시	계약직	5,000~7,000만원::중소기업::None::17111
 주식회사 길온 ::신입/경력(연차무관)학력무관::경기 성남시	정규직::중소기업::4,460::17111
 주식회사 퀄슨 ::경력5년↑학력무관::서울 강남구	정규직::중소기업::4,476::17111
 (주)피나클 (FINAKLE) ::경력2년↑대졸::경기 성남시	정규직::중소기업::None::17111
 현대오토에버(주) ::경력3년↑학력무관::서울 강남구	정규직::대기업::6,573::17111
 데브시스터즈(주) ::경력2년↑학력무관::서울 강남구	정규직외::중소기업::None::17111
 (주)더블유에이디홀딩스 ::신입/경력(연차무관)학력무관::광주 서구	정규직::중소기업::None::17111
 주식회사 앱솔 ::신입/경력(연차무관)학력무관::경기 의왕시	정규직::중소기업::3,184::17111
 (주)마이더스에이치알 ::경력5~11년대졸이상::서울	정규직::중소기업::2,783::17111
 아이티윌 부산교육센터 ::신입학력무관::부산 부산진구	정규직	월급::중소기업::None::17111
 디지키 ::신입학력무관::경기 안양시	정규직	3,000~3,500만원::중소기업::None::17111
 (주)올체인 ::신입/경력(연차무관)학력무관::경기 시흥시	정규직	월급 3,000,000원::None::None::17111
 커리어커넥트(주) ::경력3년↑대졸이상::경기 안양시	정규직::중소기업::None::17111
 (주)오피지지 ::경력3년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 (주)오피지지 ::경력3년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 (주)아이디어 콘서트 ::신입/경력(연차무관)학력무관::경기 성남시	정규직외	2,600~4,800만원::중소기업::2,752::17111
 (주)티맥스소프트 ::경력3년↑학력무관::경기 성남시	정규직::중견기업::5,223::17111
 (주)오피지지 ::경력3년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 (주)코테크시스템 ::경력2년↑초대졸이상::서울 중구	정규직	월급::중소기업::4,203::17111
 (주)오픈시스넷 ::경력5년↑초대졸이상::경기 성남시	정규직	5,000~6,000만원::중소기업::4,639::17111
 (주)코테크시스템 ::경력2년↑학력무관::서울 중구	정규직	월급::중소기업::4,203::17111
 (주)피플플러스 ::경력(연차무관)초대졸이상::서울 영등포구 외	정규직::중소기업::2,246::17111
 (주)애가시스템 ::경력3~6년대졸이상::광주	정규직	4,000~5,000만원::중소기업::None::17111
 (주)코리아티엠 ::신입/경력2년↑초대졸::서울 중구	정규직	4,000~5,000만원::중소기업::3,217::17111
 에이치알비즈코리아 ::경력4~13년대졸::경기 성남시	정규직::중소기업::2,755::17111
 메가소프트(주) ::경력2년↑초대졸이상::서울	정규직외::중소기업::3,014::17111
 에이치알비즈코리아 ::경력4~13년대졸::경기 성남시	정규직::중소기업::2,755::17111
 에이치알비즈코리아 ::경력10~17년대졸::경기 성남시	정규직::중소기업::2,755::17111
 에이치알비즈코리아 ::경력12~17년대졸::경기 성남시	정규직::중소기업::2,755::17111
 에이치알비즈코리아 ::경력5~12년대졸::경기 성남시	정규직::중소기업::2,755::17111
 현대커머셜(주) ::경력(연차무관)학력무관::서울 영등포구	정규직외::대기업::5,986::17111
 (주)큐브엔시스 ::경력5년↑초대졸이상::서울 서초구	정규직	5,000~6,000만원::중소기업::4,670::17111
 (주)애드 ::신입/경력1~5년학력무관::서울 강남구	정규직::중소기업::4,022::17111
 데브시스터즈(주) ::경력3년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 (주)이마트 ::경력(연차무관)학력무관::서울 성동구	정규직::대기업::3,785::17111
 (주)해커스교육그룹 ::경력1~15년학력무관::서울 서초구	정규직::중견기업::None::17111
 (주)더라이징스타 ::경력5년↑학력무관::서울 영등포구	정규직::중소기업::2,895::17111
 (주)스카우트플랜 ::경력10년↑대졸::서울 서초구	정규직	8,000~15,000만원::중소기업::None::17111
 인크루트(주) ::경력3년↑학력무관::서울 중구	정규직::중견기업::3,635::17111
 HR컨설팅(주) ::경력2년↑초대졸이상::서울 서초구	정규직::중소기업::None::17111
 (주)메쉬코리아 ::경력1년↑학력무관::서울 강남구	정규직::중소기업::4,612::17111
 (주)인더포레스트 ::신입/경력(연차무관)학력무관::서울 강남구	정규직외	건별::중소기업::3,954::17111
 (주)노스텍 ::경력2~3년학력무관::서울 성동구	정규직::중소기업::2,381::17111
 에스에프인촌 주식회사 ::경력4년↑석사이상::서울	정규직::중소기업::None::17111
 (주)매일방송 ::신입/경력2년↑초대졸이상::서울 중구	정규직::중견기업::5,285::17111
 라인비즈플러스(주) ::경력3년↑학력무관::경기 성남시 분당구 외	정규직::대기업::6,597::17111
 (주)위메이드엔터테인먼트 ::신입/경력(연차무관)학력무관::경기 성남시	정규직::중견기업::4,126::17111
 베스트네트워크(주) ::경력6년미만학력무관::서울	정규직::중소기업::None::17111
 엔에이치엔소프트 ::경력2~15년고졸이상::경기 성남시	정규직::중견기업::4,532::17111
 (주)스카우트플랜 ::경력6년↑초대졸::서울 금천구 외	정규직	6,500~8,000만원::중소기업::None::17111
 롯데렌탈(주) ::신입대졸이상::서울 강남구	정규직::대기업::5,006::17111
 (주)스카우트플랜 ::경력3년↑학력무관::서울 구로구	정규직	3,000~6,000만원::중소기업::None::17111
 엔에이치엔소프트 ::신입/경력(연차무관)고졸이상::경기 성남시	정규직::중견기업::4,532::17111
 (주)안랩 ::경력(연차무관)학력무관::경기 성남시	정규직::중견기업::None::17111
 주식회사 코암코리아 ::신입/경력(연차무관)학력무관::서울 금천구 외	정규직::None::None::17111
 나우경제 주식회사 ::신입/경력(연차무관)학력무관::경기 외	정규직외	1억원 이상::중소기업::3,063::17111
 (주)오피지지 ::경력2년↑학력무관::서울 강남구	정규직::중소기업::None::17111
 주식회사 로얼라이언스 ::신입/경력(연차무관)학력무관::서울 강남구	정규직	3,000~7,000만원::중소기업::3,940::17111
